id,url,cover_url,pdf_url,cover_path,pdf_path,title,tags,author,year,publisher,city,printing_house,pages,language,description
2515,https://tula-online.org/items/show/2515,https://tula-online.org/files/fullsize/e035f5152c5f0744f9c25a4f2bd314f8.jpg,https://tula-online.org/files/original/864a495311e4073218e6004bb1fb7416.pdf,cover/2515.jpg,pdf/2515.pdf,Волинь : Роман-хроніка у 3-ох частинах. ІІ. Війна і революція (ІІ. Частина Волині ) · TULA,Prose|Collection Романа Ґеник-Березовського,самчук улас,1935,видавництво дзвони львів,Lviv,друкарня бібльос львів,274,Українська,Серія: Бібліотека Дзонів Ч. 10
2516,https://tula-online.org/items/show/2516,https://tula-online.org/files/fullsize/fdbbef86b9531b1ec56bda78c241742d.jpg,https://tula-online.org/files/original/0e00cbddafa34cea23877723dc28ac02.pdf,cover/2516.jpg,pdf/2516.pdf,Волинь : Роман-хроніка у 3-ох частинах. ІІІ. Батько і син (ІІІ. Частина Волині ) · TULA,Prose|Collection Романа Ґеник-Березовського,самчук улас,1937,накладом василя рудка,Lviv,друкарня слово львів,266,Українська,Серія: Бібліотека Нашої книги ч. 1
2517,https://tula-online.org/items/show/2517,https://tula-online.org/files/fullsize/3bf9f83dba88ea0feede66b490f41b83.jpg,https://tula-online.org/files/original/ba0dfa77884b6a1413b2bd4b43ecc6cc.pdf,cover/2517.jpg,pdf/2517.pdf,The Formation of the Ukrainian Republic · TULA,History|Memoirs,pidhainy oleh semenovych,1966,new review books,Toronto,homin ukrainy (ukrainian echo) publishing co. ltd. toronto ont.,686,Англійська,Series: The Ukrainian Republic in the Great East-Europian Revolution. Volume I
2518,https://tula-online.org/items/show/2518,https://tula-online.org/files/fullsize/06cfbc2be1132c8b76c44ce5f6fba432.jpg,https://tula-online.org/files/original/7d95634cdc36c148e1a84eca5029dcd0.pdf,cover/2518.jpg,pdf/2518.pdf,Верховино світку ти наш... ІІ. частина · TULA,Prose|Collection Романа Ґеник-Березовського,ломацький михайло,1960,N/A,Munich,buchdruckerei logos münchen,288,Українська,na
2519,https://tula-online.org/items/show/2519,https://tula-online.org/files/fullsize/6fc98afc27766b25c1389d65d52186d5.jpg,https://tula-online.org/files/original/ea9c25fc1ad647fb440a3044b2ddef6d.pdf,cover/2519.jpg,pdf/2519.pdf,Заметіль. ІІІ. У Зворах Бескиду : Повість зі стрілецького життя · TULA,Prose|Collection Романа Ґеник-Березовського,купчинський роман,1933,видавництво червона калина,Lviv,друкарня наукового товариства ім. шевченка у львові,176,Українська,na
252,https://tula-online.org/items/show/252,https://diasporiana.org.ua/wp-content/uploads/books/15019/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/15019/file.pdf,cover/252.jpg,pdf/252.pdf,Театр-Студія Йосипа Гірняка і Олімпії Добровольської · TULA,Ukrainica,бойчук богдан,1975,українська вільна академія наук,New York,computoprint corporation clifton n. j.,348,Українська,na
2520,https://tula-online.org/items/show/2520,https://tula-online.org/files/fullsize/1fff225d47730c81535dea8166f6fc34.jpg,https://tula-online.org/files/original/7a7d878f56ab6d7e78d548527767d695.pdf,cover/2520.jpg,pdf/2520.pdf,Невідомий : Повість з воєнних часів · TULA,Prose|Collection Романа Ґеник-Березовського,шухевич степан,1933,кооперативна накладня червоної калини,Lviv,союзна друкарня у станіславові,216,Українська,na
2521,https://tula-online.org/items/show/2521,https://tula-online.org/files/fullsize/e63442035a564bfde5d45c4ccf0fe19d.jpg,https://tula-online.org/files/original/852b9eb8cbb4763eaacc1527ccac2c30.pdf,cover/2521.jpg,pdf/2521.pdf,Чета Крилатих - Дивні пригоди з воєнних часів : Повість · TULA,Prose|Collection Романа Ґеник-Березовського,шкрумеляк юра,1929,кооперативна накладня червоної калини,Lviv,друкарня оо. василіян у жовкві,262,Українська,na
2522,https://tula-online.org/items/show/2522,https://tula-online.org/files/fullsize/3b1f27fb10079d5cf1f377181c4edec6.jpg,https://tula-online.org/files/original/22f1cd4216dde26554fdd20d6cdbdbe6.pdf,cover/2522.jpg,pdf/2522.pdf,Old Wounds: Jews Ukrainians and the Hunt for Nazi War Criminals in Canada · TULA,N/A,troper harold,1988,viking penguin group canada limited,Ontario California,printed in u.s.a,455,Англійська,na
2523,https://tula-online.org/items/show/2523,https://tula-online.org/files/fullsize/dc807b286fd11da28ae6ad86b9ab74e5.jpg,https://tula-online.org/files/original/34373d1a2ec6b5dec938ccd4769c8444.pdf,cover/2523.jpg,pdf/2523.pdf,Іван Франко: Життя і творчість · TULA,Literary Studies,луців лука,1966,наукове товариство ім. шевченка,New York,друкарня свободи джерзі ситі н. дж.,64,Українська,Передрук із Альманаху УНСоюзу на 1966-ий рік
